Statement,Description
import qualified Module,"Imports all entities from the module 'Module' but qualifies them with the module name, so they need to be accessed using the module name prefix."
Module.name,"Accesses the entity 'name' from the module 'Module'."
import Module as NewName,"Imports all entities from the module 'Module' into the current namespace but renames the module to 'NewName', allowing access to its entities using the new name."
data DataType = A | B | C\nimport Module (dataType(...)),"Define a data type 'DataType' with constructors 'A', 'B', and 'C'. Then imports only the specified data type constructors from the module 'Module'."
or
import Module (dataType(A,C)),"Imports only the specified data type constructors 'A' and 'C' from the module 'Module'."
import System.Environment,"Import the System.Environment module to access environment-related functions."
import System.Exit,"Import the System.Exit module to handle program exit."
progname arg1 arg2 arg3 arg4,"Define a program with four arguments."
greet Hello,"Define a function 'greet' that takes a string argument and prints 'Hello user' with the argument appended."
:> greet Hello,"Invoke the 'greet' function with the argument 'Hello'."
import System.Environment,"Import the System.Environment module to access environment-related functions."
import System.Exit,"Import the System.Exit module to handle program exit."
progname arg1 arg2 arg3 arg4,"Define a program with four arguments."
getProgname :: IO String,"Define a function 'getProgname' which returns the program name as an IO action."
getProgname = System.Environment.getProgname,"Assign the 'getProgname' function to retrieve the program name."
withArgs :: [String] -> IO a -> IO a,"Define a function 'withArgs' which takes a list of strings and an IO action, and executes the action with the specified arguments."
withArgs args action = System.Environment.withArgs args action,"Implement the 'withArgs' function using 'System.Environment.withArgs'."
WithProgName :: String -> IO a -> IO a,"Define a function 'WithProgName' which takes a string representing a new program name and an IO action, and executes the action with the specified program name."
WithProgName name action = System.Environment.withProgName name action,"Implement the 'WithProgName' function using 'System.Environment.withProgName'."
data ExitCode = ExitSuccess | ExitFailure Int,"Define a custom data type 'ExitCode' which represents the status of program termination, either success or failure with an integer code."
exitWith :: ExitCode -> IO a,"Define a function 'exitWith' which takes an ExitCode and performs an IO action that terminates the program with the specified exit code."
exitWith code = System.Exit.exitWith code,"Implement the 'exitWith' function using 'System.Exit.exitWith'."
exitFailure :: IO a,"Define a function 'exitFailure' which performs an IO action that terminates the program with a failure status."
exitFailure = System.Exit.exitFailure,"Implement the 'exitFailure' function using 'System.Exit.exitFailure'."
exitSuccess :: IO a,"Define a function 'exitSuccess' which performs an IO action that terminates the program with a success status."
exitSuccess = System.Exit.exitSuccess,"Implement the 'exitSuccess' function using 'System.Exit.exitSuccess'."
die :: String -> IO a,"Define a function 'die' which takes a string argument and performs an IO action that terminates the program with a failure status and prints the specified string as an error message."
die msg = do { putStrLn msg; exitFailure },"Implement the 'die' function to print the error message followed by exiting with failure status."













